Rk,Gtm,Date,Team,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec),Starter,Starter ERA,Starter FIP,Starter WHIP,Starter H9,Starter HR9,Starter BB9,Starter SO9,Opp BatAge,Opp RpG,Opp BA,Opp OBP,Opp SLG,Opp OPS,Bullpen ERA,Bullpen WHIP,Bullpen SO9
533,47,May 29,TBR,,NYY,"W,4-2",9,9,2,2,0,0,9,2,0,3.23,36,133,97,0,0,1,0,36,0,0,0,0,0,1,1,4,Pat Hoberg,"S.McClanahan (4-61-W), J.Adam (0-H), C.Poche (0-H), J.Feyereisen (0-Sv)",S.McClanahan,2.54,3,0.926,6.3,1,2.1,10.5,30.2,4.98,0.241,0.325,0.426,0.751,3.36,1.165,8.7
534,48,May 30,TBR,@,TEX,"L,5-9",8,13,9,9,0,4,9,2,0,3.36,40,156,106,1,1,1,0,36,3,0,0,0,0,0,0,4,Jerry Meals,"D.Rasmussen (4-29-L), M.Wisler (2), R.Thompson (3), R.Garza (3)",D.Rasmussen,2.84,3.26,1.041,7.5,0.8,1.9,7.7,28,4.36,0.239,0.301,0.395,0.696,3.36,1.165,8.7
535,49,May 31,TBR,@,TEX,"L,0-3",8,7,3,3,0,1,6,2,2,3.36,33,114,72,2,0,3,1,30,2,0,0,0,0,0,0,2,Ed Hickox,"R.Yarbrough (4-53-L), S.Armstrong (31)",R.Yarbrough,4.5,4.77,1.375,9.9,1.4,2.5,6.9,28,4.36,0.239,0.301,0.395,0.696,3.36,1.165,8.7
536,50,Jun 1,TBR,@,TEX,"W,4-3",11,10,3,2,1,6,15,2,0,3.32,48,208,125,2,0,1,1,42,1,0,0,0,0,0,0,7,Vic Carapazza,"J.Springs (4-55), J.Beeks (4), B.Raley (5), J.Adam (2), J.Feyereisen (2), C.Poche (2-BW), M.Wisler (1-Sv)",J.Springs,2.46,3.04,1.071,7.6,0.9,2.1,9.6,28,4.36,0.239,0.301,0.395,0.696,3.36,1.165,8.7
537,51,Jun 2,TBR,@,TEX,"W,3-1",9,6,1,1,0,1,7,1,1,3.27,34,119,75,3,0,0,0,32,2,0,0,0,0,0,0,6,Ryan Wills,"C.Kluber (4-64-W), J.Adam (0-H), B.Raley (0-H), S.Armstrong (1-H), J.Feyereisen (0-H), R.Thompson (2-Sv)",C.Kluber,4.34,3.57,1.213,9.8,1.1,1.2,7.6,28,4.36,0.239,0.301,0.395,0.696,3.36,1.165,8.7
538,52,Jun 3,TBR,,CHW,"W,6-3",9,11,3,3,0,2,12,1,1,3.27,41,164,111,3,0,0,0,38,0,0,0,0,0,0,0,5,Hunter Wendelstedt,"S.McClanahan (4-60-W), M.Wisler (1-H), C.Faucher (24), S.Armstrong (0), C.Poche (1-Sv)",S.McClanahan,2.54,3,0.926,6.3,1,2.1,10.5,29.3,4.23,0.256,0.31,0.387,0.698,3.36,1.165,8.7
539,53,Jun 4,TBR,,CHW,"L,2-3",9,7,3,3,0,1,6,1,0,3.26,33,119,82,1,1,0,0,32,1,0,0,0,0,0,2,3,Adam Hamari,"D.Rasmussen (4-72), B.Raley (1-H), J.Beeks (2-BL)",D.Rasmussen,2.84,3.26,1.041,7.5,0.8,1.9,7.7,29.3,4.23,0.256,0.31,0.387,0.698,3.36,1.165,8.7
540,54,Jun 5,TBR,,CHW,"L,5-6",9,16,6,6,0,2,3,0,1,3.31,44,170,117,5,0,1,0,41,6,0,0,0,0,0,1,5,Chad Whitson,"R.Yarbrough (4-13-L), S.Armstrong (1), R.Garza (5), J.Adam (2), A.Kittredge (19)",R.Yarbrough,4.5,4.77,1.375,9.9,1.4,2.5,6.9,29.3,4.23,0.256,0.31,0.387,0.698,3.36,1.165,8.7
541,55,Jun 7,TBR,,STL,"W,4-2",10,9,2,1,1,3,9,0,1,3.27,42,154,104,0,0,0,0,37,2,0,0,0,1,0,1,5,Nick Mahrley,"J.Springs (5-63), M.Wisler (3), A.Kittredge (1-BSv), B.Raley (2), C.Poche (3-W)",J.Springs,2.46,3.04,1.071,7.6,0.9,2.1,9.6,28.8,4.77,0.252,0.325,0.42,0.745,3.36,1.165,8.7
542,56,Jun 8,TBR,,STL,"W,11-3",9,8,3,3,0,1,9,1,0,3.26,35,130,91,2,0,0,0,34,0,0,0,0,0,0,1,4,Mark Carlson,"C.Kluber (5-47-W), J.Adam (2-H), L.Bard (99), S.Armstrong (2)",C.Kluber,4.34,3.57,1.213,9.8,1.1,1.2,7.6,28.8,4.77,0.252,0.325,0.42,0.745,3.36,1.165,8.7
543,57,Jun 9,TBR,,STL,"W,2-1",9,2,1,0,1,2,10,0,0,3.2,32,111,74,0,0,0,0,29,1,0,0,0,0,1,1,2,Will Little,"S.McClanahan (5-84-W), J.Adam (0-Sv)",S.McClanahan,2.54,3,0.926,6.3,1,2.1,10.5,28.8,4.77,0.252,0.325,0.42,0.745,3.36,1.165,8.7
544,58,Jun 10,TBR,@,MIN,"L,4-9",8,13,9,6,3,3,5,3,0,3.26,41,137,89,2,2,0,0,38,3,0,0,0,0,1,0,3,Brock Ballou,"D.Rasmussen (5-24-L), R.Garza (4), C.Faucher (6)",D.Rasmussen,2.84,3.26,1.041,7.5,0.8,1.9,7.7,26.9,4.3,0.248,0.317,0.401,0.718,3.36,1.165,8.7
545,59,Jun 11,TBR,@,MIN,"L,5-6",8,11,6,6,0,5,8,1,0,3.31,37,149,91,0,0,0,0,32,3,0,0,0,0,0,2,6,Chris Segal,"S.Baz (99-30-L), J.Beeks (6), B.Raley (3), M.Wisler (3), R.Thompson (8), S.Armstrong (2)",S.Baz,5,4.41,1.333,9,1.7,3,10,26.9,4.3,0.248,0.317,0.401,0.718,3.36,1.165,8.7
546,60,Jun 12,TBR,@,MIN,"W,6-0",9,5,0,0,0,4,7,0,0,3.26,35,168,106,1,0,0,0,31,0,0,0,0,0,1,2,5,,"J.Springs (4-67-W), M.Wisler (0), J.Beeks (0), C.Faucher (1), C.Poche (4)",J.Springs,2.46,3.04,1.071,7.6,0.9,2.1,9.6,26.9,4.3,0.248,0.317,0.401,0.718,3.36,1.165,8.7
